Año,Estado,Municipio,Localidad,Lugar_Conocido,Estatus
2011,Baja California,Ensenada,La Bufadora,EJIDO ESTEBAN CANTU,Atendido
2011,Baja California,Mexicali,San Felipe,MUELLE,Atendido
2011,Baja California,Mexicali,San Felipe,MALECÓN Y MUELLES,Atendido
2011,Baja California,Ensenada,El Rosarlo de Abajo,PUNTA BAJA,Atendido
2011,Baja California Sur,Comondú,Ciudad Constitución,LA BOCANA,Atendido
2011,Baja California Sur,Comondú,Puerto Magdalena,BAHIA MAGDELENA,Atendido
2011,Baja California Sur,Comondú,Puerto Magdalena,PUERTO SAN CARLOS,Atendido
2011,Campeche,Campeche,Bethania,NO ESPECIFICADO,Atendido
2011,Campeche,Campeche,San Francisco de Campeche,LERMA,Atendido
2011,Campeche,Campeche,San Francisco de Campeche,OFICINAS,Atendido
2011,Campeche,Champotón,Champotón,FRENTE AL SALÓN CORAL,Atendido
2011,Chiapas,Tonalá,Boca del Cielo,RANCHO SAN RAMON,Atendido
2011,Colima,Colima,El Astillero de Abajo,CERRITOS,Atendido
2011,Colima,Tecomán,Tecomán,TECOMAN,Atendido
2011,Guanajuato,León,León de los Al dama,LEON,Atendido
2011,Guanajuato,Acámbaro,Iramuco,LAGO DE CUITZEO,Atendido
2011,Guanajuato,Yuriria,Aragón,LANGOSTURA,Atendido
2011,Jalisco,Unión de Tula,Unión de Tula,PRESATRIGOMIL,Atendido
2011,Jalisco,Amatitán,Amatitán,"CHAMELA Y PERULA, BARRA DE NAVIDAD",Atendido
2011,Jalisco,Degollado,Huáscato,PRESA LA POLVORA,Atendido
2011,Jalisco,Cabo Corrientes,Tehuamixtie (Tehualmixtie),TEHUAMIXTLE,Atendido
2011,Jalisco,La Huerta,Pérula,PUNTA PERULA,Atendido
2011,Oaxaca,Zimatián de Álvarez,La Cumbre Clavellinas (El Fresno!,LA NEVERIA,Atendido
2011,Oaxaca,San Pedro Mixtepec -Dto.22-,Puerto Escondido,BAHIA PRINCIPAL,Atendido
2011,Oaxaca,San Pedro Pochutia,Puerto Ángel,PUERTO ANGEL,Atendido
2011,Sinaloa,Ahorne,Topolobampo,TOPOLOBAMPO,Atendido
2011,Sinaloa,Escuinapa,Escuinapa de Hidalgo,CERRO DE LAS CABRAS DE ESCUINAPA DE HIDALGO,Atendido
2011,Sinaloa,Mazatián,Villa Unión,VILLA UNIÓN,Atendido
2011,Sinaloa,Ahorne,Poblado Número Cinco,VALLE DEL CARRIZO,Atendido
2011,Slnaioa,Mazatián,Mazatián,COSTERA EN EL VALENTINOS,Atendido
2011,Sinaloa,Mazatián,Mazatián,LUGAR PUNTILLA,Atendido
2011,Sinaloa,Escuinapa,Escuinapa de Hidalgo,PALMILLAS,Atendido
2011,Sinaloa,Cutiacán,Las Arenitas,CONCIENCIA,Atendido
2011,Sinaloa,Ahorne,Topolobampo,BAHIA DE OHUIRA,Atendido
2011,Sonora,Puerto Peñasco,La Pinta,AREA ENTRE LA PINTA E ISLA SAN JORGE,Atendido
2011,Sonora,Puerto Peñasco,Puerto Peñasco,LA PINTA,Atendido
2011,Sonora,San Luis Río Colorado,Golfo de Santa Ciara,"LOS PINOS, AL SUR DEL DESTACAMENTO OE LA ARMADA",Atendido
2011,Tamaulipas,Guerrero,Nueva Ciudad Guerrero,PRESA FALCON,Atendido
2011,Tamauiipas,Ciudad Madero,Ciudad Madero,LAGUNA LA ILUSION Y EL CHIFUS,Atendido
2011,Veracruz,Tamlahua,Tamiahua,LAGUNA DE TAMIAHUA,Atendido
2011,Yucatán,Ceíestún,Ceíestún,CELESTUN,Atendido
2011,Yucatán,Tlzimln,El Cuyo,EL CUYO,Atendido
2011,Yucatán,Progreso,Progreso,PROGRESO,Atendido
2012,Aguascalientes,Jesús María,Jesús María,AELARDO RODRIGUEZ (LA TOMATINA),Atendido
2012,Aguascalientes,Calvülo,La Fragua,PUNTA PRIETA,Atendido
2012,Baja California,Ensenada,Ensenada,CENTRO,Atendido
2012,Baja Callfomla,Ensenada,El Rosario de Arriba,PUNTA BAJA,Atendido
2012,Baja California,Ensenada,Ensenada,CLOUDSTONE DE MEXICO,Atendido
2012,Baja California,Mexicali,Familia Cárdenas,SAN FEUPE,Atendido
2012,Baja California,Ensenada,Ensenada,MERCADO NEGRO,Atendido
2012,Baja California,Ensenada,San Vicente,LLANO COLORADO,Atendido
2012,Baja California,Ensenada,San Vicente,LLANO COLORADO,Atendido
2012,Baja California Sur,Comondú,Puerto San Carlos,PUERTO SAN CARLOS,Atenido
2012,Baja California Sur,La Paz,La Paz,BAHIA DE LA PAZ,Atendido
2012,Baja California Sur,La Paz,La Paz,ARCHIPIELAGO DE ESPIRITU SANTO,Atendido
2012,Baja California Sur,Los Cabos,Cabo Pulmo,CABO PULMO,Atendido
2012,Baja California Sur,La Paz,Todos Santos,LAS BOCANAS,Atendido
2012,Baja California Sur,Mulegé,Bahía Asunción,"ISLA ASUNCION, ISLA SAN ROQUE",Atendido
2012,Baja California Sur,Los Cabos,Cabo San Lucas,FRENTE A PUEBLO BONITO SUNSET,Atendido
2012,Baja California Sur,Los Cabos,Cabo San Lucas,"ROCA PARDIDA, REVILLAGIGEDO",Atendido
2012,Campeche,Campeche,San Francisco de Campeche,GASOUNERA DE LERMA,Atendido
2012,Campeche,Champotón,Champotón,CHAMPOTÓN,Atendido
2012,Campeche,Carmen,Ciudad del Carmen,MALECON DE LA CIUDAD,Atemfido
2012,Campeche,Carmen,El Aguacatal,RIO CHUMP AN,Atendido
2012,Campeche,Carmen,Ciudad del Carmen,"ARROYO ""LA CALETA""",Atendido
2012,Campeche,Champotón,Punta Xen,PUNTA XEN,Atendido
2012,Campeche,Campeche,San Francisco de Campeche,AVENIDA RESURGIMIENTO,Atendido
2012,Campeche,Campeche,San Francisco de Campeche,CAMPECHE,Atendido
2012,Campeche,Campeche,San Francisco de Campeche,MUELLE VILLA MADERO,Atendido
2012,Campeche,Champotón,Champotón,CHAMPOTON,Atendido
2012,Chiapas,Palenque,Palenque,EL LAGO,Atendido
2012,Colima,Tecomán,Tecuanillo (Balneario Tecuanillo),ESTERO TECUANILLO,Atendido
2012,Coüma,Tecomán,Tecuanillo (Balneario Tecuanillo!,TECUANILLO,Atendido
2012,Colima,Colima,Colima,COLIMA,Atendido
2012,Colima,Tecomán,Tecuanillo (Balneario Tecuanillo),"RAMADA DEL CHINO, MARIN",Atendido
2012,Colima,Manzanillo,Manzanillo,MERCADO DÉ PESCADORES,Atendido
2012,Coüma,Manzanillo,Tepalcates,TEPALCATES,Atendido
2012,Colima,Manzanillo,Manzanillo,MERCADO DE PESCADORES,Atendido
2012,Distrito Federal,Venustiano Carranza,Venustiano Carranza,LAGUNA DE COATETELCO,Atendido
2012,Guanajuato,Acámbaro,Iramuco,LAGO DE CUITZEO,Atendido
2012,Guanajuato,Yuriria,Laguna Prieta,LAGUNA DE YURIRIA,Atendido
2012,Guanajuato,Yurlria,Yuriria,LAGUNA DE YURIRIA,Atendido
2012,Guerrero,San Marcos,San Marcos,SAN MARCOS,Atendido
2012,Guerrero,Acapulco de Juárez,Acapulco de Juárez,FRENTE FAIRMONT PRINCES AND MAYAN PALCE,Atendido
2012,Guerrero,Acapulco de Juárez,Acapulco de Juárez,MELECON,Atendido
2012,Guerrero,Acapulco de Juárez,Acapulco de Juárez,MALECON,Atendido
2012,Guerrero,Acapulco de Juárez,Acapulco de Juárez,MALECON,Atenctido
2012,Guerrero,Acapulco de Juárez,Acapulco de Juárez,MALECON,Atendido
2012,Guerrero,Acapulco de Juárez,Acapulco de Juárez,MALECON,Atendido
2012,Guerrero,Acapulco de Juárez,Acapulco de Juárez,EL MISMO,Atendido
2012,Guerrero,Acapulco de Juárez,Acapulco de Juárez,PLAYA CALETA,Atendido
2012,Hidalgo,Tulaneingo de Bravo,Santa Ana Hueytiaipan,PRESA DE SANTA ANA,Atendido
2012,Hidalgo,Huasca de Ocampo,Huasca de Ocampo,"LAGO QUE SE ENCUENTRA EN SANTA MARÍA REGLA, JUNTO",Atendido
2012,Jalisco,Tizapán el Alto,Mlsmaloya,MISM ALOYA,Atendido
2012,Jalisco,La Huerta,Péruia,PUNTA PERULA,Atendido
2012,Jalisco,La Huerta,Chamela,PUNTA PÉRULA,Atendido
2012,Jalisco,Lagos de Moreno,Dieciocho de Mano,LAS TEJAS,Atendido
2012,Jalisco,Degollado,La Pólvora,PRESA LA POLVORA HUASCATO JAL.,Atendido
2012,Jalisco,Zapotianejo,Calderón,PRESA CALDERON,Atendido
2012,Jaüsco,Cihuatlán,Barra de Navidad,DONDE SE PONE EL CIRCO.,Atendido
2012,Jalisco,Tecdotíán,Tecoiotián,PRESA EL POCHOTE,Atendido
2012,Michoacán,Múglca,Nueva Italia de Rulz,LA PRESA DE FRANCISCO J MUJICA,Atendido
2012,Michoacán,Lázaro Cárdenas,Ciudad Lázaro Cárdenas,LÁZARO CARDENAS,Atendido
2012,Morelos,Miacatlán,Coateteico,LAGUNA COATETELCO,Atendido
2012,Nayarit,Santa María del Oro,Santa María del Oro,PRESA HIDROELECTRICA EL CAJON,Atendido
2012,Nayarít,La Yesca,La Mesa,PUENTE DEL EMBALSE,Atendido
2012,Nayarit,Teplc,Colorado de la Mora,COLORADO DÉ LA MORA,Atendido
2012,Nayarit,Bahía de Banderas,Sayulíta,RESTAURANTE DON PEDRO,Atendido
2012,Nayarit,Tuxpan,Tuxpan,TUXPAN,Atendido
2012,Nayarít,Tuxpan,Tuxpan,EN FRENTE DE COPPEL EN EL CENTRO DE LA CIUDAD,Atencfido
2012,Nayarít,Tuxpan,Tuxpan,CRUCERO DE UNION DE CORRIENTES,Atendido
2012,Nayarit,Bahía de Banderas,Las Jarretadlas,DESEMBOCADURA DEL RÍO AMECA,Atendido
2012,Oaxaca,San Pedro Pochutla,Puerto Ángel,EN LA PLAYA,Atencfido
2012,Oaxaca,Villa de Tututepec de Melchor Ocamoo,Chacahua,LAGUNA,Atendido
2012,Oaxaca,Santo María Huatulco,Bahía de Santa Cruz Huatulco,DARSENA DE SANTA CRUZ,Atencfido
2012,Oaxaca,San Pedro Pochutla,Puerto Ángel,PUERTO ANGEL,Atendido
2012,Oaxaca,San Pedro Pochutla,Puerto Ángel,PUERTO ANGEL,Atendido
2012,Oaxaca,San Pedro Taoanateoec,San Pedro Tapanatepec,RINCÓN JUÁREZ,AtencSdo
2012,Quintana Roo,Solidaridad,Playa del Carmen,BAR ZENZI PLAYA DEL CARMEN,Atendido
2012,Quintana Roo,Lázaro Cárdenas,Hoibox,LAGUNA YALAHAU,Atendido
2012,Quintana Roo,isla Mujeres,tola Mujeres,"RESTAURANTE ""COKTELERIA MININOS""",Atendido
2012,Quintana Roo,Othón P. Blanco,Raudales,LAGUNA GUERRERO,Atendido
2012,Quintana Roo,Solidaridad,Playa de! Carmen,ARRECIFE PARAISO,Atendido
2012,San Luis Potosí,Rayón,La Luz,"PRESA DE AMOLADERAS, 0 PRESA DE LA LUZ",Atendido
2012,Sinaloa,Navolato,Dautillos,DAUTILLOS,Atendido
2012,Sinaloa,Escuínapa,Los Ángeles,PLAYA ANGEL,Atendido
2012,Sinaloa,Mazatlán,Mazatlán,EL FARO,Atendido
2012,Sinaloa,Navolato,Al tata,BOCABARRA DE LA TONINA,Atencfido
2012,Sinaloa,Escuínapa,Teacapán,QUESO YPMT,Atendido
2012,Sinaloa,Cullacán,Cullacán Rosales,"DAUTILLOS, YAMETO, NAVOLATO",Atendido
2012,Sinaloa,Mazatíán,La Angostura,LA PUNTILLA,AtencSdo
2012,Sinaloa,Cullacán,Ejido Mezquitillo (Chapateado),LAGUNA DE LAS HIGUERAS,AtencSdo
2012,Sinaloa,Escuínapa,Teacapán,EL QUESO Y COPERATIVA,Atendido
2012,Sinaloa,Culiacán,,DIQUE LA PRIMAVERA,Atendido
2012,Sinaloa,Rosario,Chametia,LAGUNA DE LAS CABRAS,Atendido
2012,Sinaloa,Guasave,El Huitussl,EL HUITUSSI,Atendido
2012,Sinaloa,Mazatián,Mazatián,"ESCOLLERAS, CRESTON",Atendido
2012,Sinaloa,Angostura,La Reforma,BAHIA SANTA MARIA,Atendido
2012,Sinaloa,Angostura,La Reforma,LA REFORMA,Atendido
2012,Sinaloa,Angostura,La Reforma,LA REFORMA Y DAUTILLOS,Atendido
2012,Sinaloa,Rosario,Chametia,LA BOCA DE CHAMETLA,Atendido
2012,Sinaloa,Culiacán,Mezqultlllo,LAGUNA LAS HIGUERAS,Atendido
2012,Sinaloa,Mazatián,Mazatián,MERCADO DE LA JUAREZ,Atendido
2012,Sinaloa,Angostura,La Reforma,LA REFORMA,Atendido
2012,Sinaloa,Culiacán,Culiacán Rosales,LA NUEVA VIGA D. F.,Atendido
2012,Sonora,Guaymas,El Álamo,BAHIA DE GÜIRA,Atendido
2012,Sonora,Puerto Peñasco,Puerto Peñasco,ISLA SAN JORGE,Atendido
2012,Sonora,Guaymas,Heroica Guaymas,BAHIA LOBOS,Atendido
2012,Sonora,Guaymas,Heroica Guaymas,MIRAMAR,Atendido
2012,Sonora,Puerto Peñasco,Puerto Peñasco,"LA PINTA, BAHIA SAN JORGE Y EJIDO 15 DE SEPTIEMBRE",Atendido
2012,Sonora,San Ignacio Río Muerto,San Ignacio Rio Muerto,SAN IGNACIO RIO MUERTO,Atenddo
2012,Sonora,Caborca,Desemboque,DESEMBOQUE,Atendido
2012,Sonora,Huatabampo,Las Bocas,PLAYA SUR,Atendido
2012,Sonora,Huatabampo,Las Bocas,CASA 144,Atendido
2012,Sonora,Huatabampo,Las Bocas,PLAYA SUR LAS BOCAS,Atendido
2012,Sonora,Huatabampo,Las Bocas,PLAYA SUR,Atendido
2012,Sonora,Navojoa,Navojoa,LAS BOCAS MUNICIPIO DE HUATABAMPO SONORA,Atendido
2012,Sonora,Cajeme,Quetchehueca,PLAYA SAN JOSE DE LA ISLA HUIVULAI,Atendido
2012,Sonora,Caborca,Desemboque,HASTA EL JAWUEI,Atendido
2012,Sonora,Caborca,Ei Jagüey,JAGUEYO LA 15,Atendido
2012,Sonora,Huatabampo,Yavaros (isla (as Viejas),PLAYA HUATABAMPITO,Atendido
2012,Sonora,Huatabampo,Moroncárit,SANTABARBARA,Atendido
2012,Sonora,Caborca,Heroica Caborca,BAHIA SAN JORGE,Atendido
2012,Sonora,Empalme,Empalme,CRUZ DE PIEDRA,Atendido
2012,Sonora,Empalme,Empalme,CRUZ DE PIEDRA,Atendido
2012,Sonora,Huatabampo,Camahuiroa,PLAYA,Atendido
2012,Sonora,Puerto Peñasco,Puerto Peñasco,"LA PINTA, LA CHOYA, BAHIA SN JORGE",Atendido
2012,Sonora,Puerto Peñasco,San Jorge,LA PfNTA,Atendido
