A̱o,ESPECIE,VOLUMEN,ENTIDAD FEDERATIVA,MUNICIPIO,LOCALIDAD
2014,PEZ DORADO,688 KG,SINALOA,Mazatlan,Villa Union
2014,PEZ DORADO,349 KG,SINALOA,Mazatlan,Mazatlan
2014,PEZ DORADO,87 KG,SINALOA,Mazatlan,Mazatlan
2014,FILETE DE SABALO,228 KG,SINALOA,Mazatlan,Villa Union
2014,TILAPIA CHICA,2 KG,SINALOA,Mazatlan,Villa Union
2014,LISA,40 KG,SINALOA,Mazatlan,Mazatlan
2014,ERIZO ROJO ,250 KG,BAJA CALIFORNIA,Aguas de jurisdiccion federal del Oceano Pacifico,
2015,ALMEJA GENEROSA,"3,900 KG",Baja California,Ensenada,Ensenada
2015,ALMEJA GENEROSA,17 PIEZAS,Baja California,Ensenada,Delegacion Colonet
2015,PESCADO SARDINERA (BARILLA),790 KG,Baja California,Tijuana,Tijuana
2015,ABULON,2kg,Baja California,Ensenada,Salsipuedes
2015,ABULON,434.780 KG,Baja California,Carretera Tijuana-Ensenada,
2015,FILETE DE TILAPIA IMPORTADA,"1,130 KG",JALISCO,Zapopan,Zapopan
2015,CARPA,60 KG,Coahuila,Juarez,Don Martin
2015,PULPO,52 KG,Campeche,De Lerma,De Lerma
2015,TIBURON AMARILLO,100 KG,Baja California Sur,Comondu,Comondu
2015,MANTARRAYA GAVILAN,110 KG,Baja California Sur,Comondu,Comondu
2015,CALLO DE ALMEJA CATARINA,72 KG,Baja California Sur,Comondu,Puerto San Carlos
2015,BAGRE,40 KG,Coahuila,Juarez,Don Martin
2015,PEZ CARDENAL,20 KG,Baja California Sur,Litoral del Golfo de California,
2015,LANGOSTA,5 PIEZAS,Quintana Roo,Chetumal,Chetumal
2015,LANGOSTA,346 KG,JALISCO,Zapopan,Zapopan
2015,FILETE JUREL,93.50 KG,JALISCO,Zapopan,Zapopan
2015,SALMON,"3,460 KG",JALISCO,Zapopan,Zapopan
2015,MANTO DE CALAMAR,16.80 KG,JALISCO,Zapopan,Zapopan
2015,MOJARRA,"22,598.84 KG",Jalisco,Zapopan,Zapopan
2015,CAMARON DE GRANJA CON CABEZA,"10,923.06 KG",JALISCO,Zapopan,Zapopan
2015,LONJA DE CALAMAR,"30,283.50 KG",JALISCO,Zapopan,Zapopan
