A̱o,ESTADO,ABULON,AGUA MALA- BOLA DE CANON,ALMEJA,ALMEJA CATARINA,ALMEJA CHOCOLATA,ALMEJA GENEROSA,BAGRE,CALAMAR,CALLO DE HACHA,CAMARON,CARACOL,CARPA,CHARAL,CURVINA GOLFINA,DORADO,ERIZO,ESCAMA GENERAL,JAIBA,JUREL,,LANGOSTA,LANGOSTINO,LISA-LISETA,LOBINA,MARLIN,MERO,OSTION,PELACICOS MENORES,PEPINO DE MAR,PEZ ESPADA,PEZ VELA,PULPO,ROBALO,SABALO,SIERRA,TIBURON Y RAYAS,TILAPIA,TRUCHA DE AGUADULCE,TUNIDOS,OTROS
2013,AGUASCALENTES,0,0,926,22,42,0,27,8170.5,474,61031,0,0,0,0,42,0,137.708,1726,0,,172,118,1810,4,0,460,43,20,0,0,0,2381.5,1197,0,3761.5,768,57727,91,7813.5,29486.5
2013,BAJA CALIFORNIA,6323.22,3171,1300,0,0,6500,0,150,0,1.006,19,0,0,302.173,0,4284,33837,0,0,,0,0,0,0,0,0,400,6000,13.963,0,0,0,0,0,18570,26180,0,0,0,1729.52
2013,BAJA CALIFORNIA SUR,0,0,29065,1477.9,1827.9,0,0,27236,2535.1,2722,549.5,0,0,0,183.4,0,26927.7,1937.9,1050,,891.7,0,0,70,606.2,0,14,33900,290,33,0,519,0,0,20,2507,0,0,376.5,275
2013,CAMPECHE,0,0,0,0,0,0,0,2000,0,19219,9170,0,0,0,0,0,28859,14016,0,,0,0,0,0,0,5340,57,0,1073,0,0,29086,0,0,0,3139,0,0,0,275
2013,CHIAPAS,0,0,0,0,0,0,0,0,0,114,0,0,0,0,8084,0,80,25,200,,0,0,0,0,0,0,0,0,0,0,182,0,330,0,0,43,0,0,0,500
2013,CHIHUAHUA,0,0,454,0,0,0,8020,7000,400,16284,0,0,0,0,0,0,3082,12000,0,,0,0,0,0,0,0,6020,0,0,0,0,30,0,0,0,0,10500,0,410,0
2013,COAHUILA,0,0,1,0,0,0,318,20,0,48,0,1079.5,0,0,0,0,280.4,2,0,,0,0,5.7,291.5,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,74.1
2013,COLIMA,0,0,0,30,37,0,4929,128,54,5014,40,487,0,15,111,0,390,32700,35,,130,0,130,0,14,0,363,0,0,0,206,1099,72,144,25,341,886,0,1180000,720
2013,DF,0,0,0,0,0,0,115018,76885,0,17434.5,157180,0,72,58490,6917,0,1251,0,2200,,0,0,1320,0,400,0,0,0,0,200,0,31550,50,0,2500,18794,55167,0,760,22667.6
2013,DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,ESTADO DE MEXICO,0,0,132,0,0,0,171,355,5,1616.5,5,155,25,0,6,0,1164,443,92,,0,0,341,10,0,120,7,0,0,0,0,390,8,0,325,25,3194,1380,215,119
2013,GUANAJUATO,0,0,5,0,2,0,332,1863,4,8430,280,312,61,0,0,0,10622,306,0,,0,0,0,0,0,0,10,0,0,0,0,2296,0,0,3,0,358.5,0,0,10210
2013,GUERRERO,0,0,0,0,0,0,0,0,2,25,500,0,0,0,195,0,50,8,0,,10,100,0,0,0,0,0,0,0,0,286,24,14,0,0,0,80,0,20,0
2013,HIDALGO,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1500,0,0
2013,JALISCO,0,0,2822,0,920,0,17595,9705,355,89203.5,8030,282,292,4505,16868,0,"23737,00",2721,0,,595,116,12214.25,600,13,400,170,0,0,0,240,72716,175,0,6090,34876,12905,0,3600,7990
2013,MICHOACAN,0,0,3930,2,23,14600,4.517,11740,25,98720,244,1330,653,35,22400,0,3255,1077,60,,6,0,0,0,315,0,33,0,45,0,243.5,16259,186,0,468,583,13954,0,937,1598
2013,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800
2013,NAYARIT,0,0,33,0,0,0,0,35,16,32730.5,0,0,0,40,4104,0,11.454,6,0,,8,0,595,0,0,0,5576,0,0,0,0,2,160,170,6000,363,1524,0,0,19.5
2013,NUEVO LEON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,OAXACA,0,0,220,0,0,0,916,403,10,3006,97,0,0,0,64,0,1447,34300,0,,37,0,754,0,0,0,0,0,0,0,150,93,12,0,200,2148,1352,0,154,2844
2013,PUEBLA,0,0,1219,27,1316,0,996.92,1288.5,42.35,6066.8,612.3,1500,0,33,0,4,7206.5,507,0,,12.5,24,32,2,87,1,628,0,0,0,0,1681.3,118.7,0,461,788,4400.4,20,17,1346.5
2013,QUERETARO,0,0,0,0,0,0,7,10,0,176,0,0,0,0,3000,0,44,8,0,,0,0,0,0,0,0,2,0,0,0,0,27,0,0-00,3,600,40,0,0,0
2013,QUINTANA ROO,0,0,0,0,0,0,111,18,0,925,29,0,0,20,3690,0,6102,100,0,,221,5,0,0,3,170,3,0,4925,0,0,17212,0,0,0,440,0,0,0,223
2013,SAN LUIS POTOSI,0,0,0,0,0,0,249,4,1,493,0,75,0,0,0,0,106,45.7,0,,0,38,0,0,21,0,132,0,0,0,0,518,0,0,8,110,895,0,8,51
2013,SINALOA,0,102000,0,0,0,0,0,0,280,57551.78,280,0,0,0,1516,0,12831,7526,0,,9.5,0,892,0,429,0,1239.5,0,0,0,35,1503,0,0,2100,0,50,0,7350,84
2013,SONORA,0,109035,0,0,300,342,73,14.657,68,12564,1563,201,0,114652,6780,0,3034,26851,0,,15,0,150,4,22,0,0,25000,20140,0,0,24150,35,0,200,141,1165,0,22,57290
2013,TABASCO,0,0,0,0,0,0,0,3,0,1553.5,0,448,0,0,0,0,0,5,0,,0,0,0,0,0,0,2090,0,0,0,0,20,160,0,0,0,588,0,0,561
2013,TAMAUUPAS,0,0,2,0,0,0,1.88,526,0,314.45,0,500,89,10,0,0,23,3,0,,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,12,0,0,0,1807
2013,TLAXCALA,0,0,66,0,0,0,122,192,0,2.605,0,15,0,54,0,0,1012,142,55,,0,0,57,0,0,0,870,0,0,0,0,20,13,0,761,296,1284,0,0,48
2013,VERACRUZ,0,0,100,0,0,0,0,410,0,30445,1.003,1040,0,100,128.6,0,7151.5,3079.5,30,,2.5,29,171,0,550,0,175,0,0,0,877.4,268,250,0,25,381,1362,0,4276,5934.5
2013,YUCATAN,0,0,0,0,0,0,0,4428,0,8230,13914,0,987,65,0,0,888932.96,11707,2598.5,,2026,0,800,0,0,37733.3,0,0,130687.25,0,0,1144133.7,195,0,0,9580,0,0,0,7676.5
2013,ZACATECAS,0,0,0.28,0,0,0,0,2000,500,620.6,0,0,0,0,0,0,1233.9,15.28,0,,0,0,0,0,0,0,0,0,0,0,0,163.5,0,0,0,3.5,0,0,0,0.28
,,,,,,,,,,,,,,,,,,,,,,4136.2,430,19271.95,981.5,2460.2,44224.3,17832.5,64920,157174.213,233,2219.9,1346184,2975.7,314,41520.5,102118.5,168822.9,2991,1205959,157330
